L1	L2	L3	L4	R1	R2	R3	R4	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
0	1	0	0	#	#	#	1	1	0.228	0.744	1	111.1	24946	23641	0.62		32	43
#	#	0	0	1	1	0	1	1	0.237	0.75	1	82	24921	23641	0.75		15	20
0	0	0	#	0	#	#	0	0	0.294	0.783	2	92.32	24992	23671	0.62		36	46
1	#	#	#	#	0	1	#	2	0.058	0.565	1	69.02	24984	23704	0.38		91	161
#	0	0	1	1	0	0	#	1	0	0	1	94.36	23709	23709	0.75		0	21
#	#	1	1	#	0	#	0	2	0.227	0.744	1	113.8	24984	23730	0.5		58	78
0	#	0	#	1	1	#	#	1	0.232	0.747	1	103.01	24983	23731	0.5		59	79
#	#	0	#	1	1	#	#	1	0.057	0.564	1	75.32	24983	23739	0.38		88	156
#	1	#	1	#	#	#	1	3	0.048	0.545	1	62.04	24994	23742	0.38		84	154
#	0	1	0	#	1	1	#	3	0.217	0.737	2	79.45	24997	23765	0.62		28	38
0	0	1	0	0	0	#	#	2	0.175	0.706	1	61.5	24806	23782	0.75		12	17
#	0	#	1	1	#	0	0	0	0.217	0.737	1	81.46	24949	23814	0.62		28	38
0	1	#	0	1	1	#	#	1	0.227	0.744	1	89.01	24983	23817	0.62		29	39
#	1	1	#	0	#	#	1	3	0.056	0.562	1	54.71	24978	23826	0.5		41	73
0	#	0	0	#	0	#	#	0	0.248	0.756	1	93.77	24995	23830	0.5		59	78
1	0	#	0	#	0	1	#	2	0.237	0.75	2	90.71	24958	23831	0.62		27	36
#	0	#	0	#	1	#	1	3	0.296	0.784	4	106.45	24986	23841	0.5		58	74
#	1	0	0	#	0	#	#	0	0.254	0.76	2	79.66	24995	23852	0.5		57	75
1	#	#	#	1	0	1	1	3	0.196	0.722	1	50.26	24981	23853	0.62		26	36
1	#	1	0	#	1	0	#	3	0.226	0.743	1	110.11	24986	23876	0.62		26	35
0	1	0	0	1	#	0	#	0	0.196	0.722	1	131.88	24953	23880	0.75		13	18
#	1	#	1	1	1	1	0	3	0.237	0.75	1	70.29	24909	23885	0.75		12	16
1	1	#	1	0	0	1	#	1	0	0	1	95.46	23887	23887	0.75		0	17
0	0	1	0	#	1	#	#	3	0.285	0.778	1	57.32	24997	23892	0.62		28	36
1	1	1	#	1	0	#	#	2	0.262	0.765	1	99.1	24864	23898	0.62		26	34
0	#	0	#	#	0	1	#	0	0.226	0.743	1	76.69	24995	23900	0.5		52	70
0	#	0	0	1	#	0	#	0	0.262	0.765	1	105.73	24953	23909	0.62		26	34
#	0	#	0	#	#	#	1	3	0.061	0.572	1	92.05	24986	23912	0.38		79	138
0	1	0	0	#	1	1	#	1	0.262	0.765	1	122.98	24983	23922	0.75		13	17
0	0	#	#	#	0	0	0	0	0.296	0.784	1	97.11	24951	23925	0.62		29	37
0	0	0	#	0	0	0	#	1	0.01	0.4	1	90.64	24952	23928	0.75		8	20
#	0	1	0	0	0	#	1	3	0.031	0.5	1	70.65	24954	23930	0.75		8	16
1	0	0	#	0	1	0	#	3	0.023	0.471	1	74.35	24973	23949	0.75		8	17
#	0	0	1	0	1	#	0	0	0.031	0.5	1	70.56	24992	23964	0.75		9	18
0	#	1	0	1	1	1	0	3	0.031	0.5	1	41.55	24997	23973	0.88		4	8
1	1	#	1	0	#	0	0	2	0.022	0.467	1	74.12	24807	23978	0.75		7	15
1	1	#	1	#	#	0	1	3	0.225	0.742	4	81.77	24994	23998	0.62		23	31
1	0	1	0	#	1	0	#	3	0.212	0.733	1	136.94	24986	24008	0.75		11	15
#	1	#	0	#	1	#	#	1	0.065	0.579	1	79.18	24983	24011	0.38		70	121
#	1	0	0	#	1	0	#	1	0.265	0.767	1	96.13	24921	24015	0.62		23	30
0	0	#	1	#	#	0	1	1	0.225	0.742	1	81.76	24931	24030	0.62		23	31
#	0	1	#	0	#	#	0	2	0.052	0.554	1	77.78	24984	24037	0.5		31	56
#	1	0	#	0	#	0	#	1	0.048	0.545	1	79.22	24934	24045	0.5		30	55
0	0	1	0	0	#	1	#	2	0.159	0.692	1	59.45	24840	24072	0.75		9	13
0	0	1	0	#	#	1	0	2	0.159	0.692	1	57.66	24840	24072	0.75		9	13
#	#	0	1	#	0	#	0	0	0.26	0.764	3	75.15	24990	24078	0.5		42	55
0	0	0	#	#	#	#	1	1	0.21	0.732	1	84	24952	24083	0.5		41	56
0	#	#	1	0	1	0	1	1	0.299	0.786	1	123.24	24934	24083	0.75		11	14
0	1	0	1	#	#	#	1	1	0.223	0.741	1	70.21	24934	24113	0.62		20	27
0	#	#	#	#	#	#	1	1	0.051	0.552	1	54.86	24952	24113	0.25		122	221
0	#	0	1	#	0	#	#	0	0.216	0.736	1	77.25	24963	24116	0.5		39	53
0	#	0	1	#	#	1	1	1	0.208	0.731	1	77.77	24897	24129	0.62		19	26
1	#	0	0	1	0	1	1	3	0.014	0.429	1	39.41	24645	24133	0.88		3	7
0	0	#	#	1	#	0	0	0	0.269	0.769	3	84.61	24949	24135	0.62		20	26
#	0	#	1	0	0	0	1	1	0.159	0.692	1	56.28	24907	24139	0.75		9	13
#	1	1	#	0	0	#	0	2	0.173	0.704	1	89.37	24912	24144	0.62		19	27
1	#	1	1	#	#	1	0	2	0.285	0.778	2	109.71	24984	24144	0.62		21	27
0	0	1	#	1	1	#	1	1	0.014	0.429	1	66.58	24931	24163	0.75		6	14
0	0	0	0	#	0	0	#	0	0.262	0.765	1	87.04	24951	24165	0.75		13	17
#	#	0	#	0	1	0	1	1	0.193	0.72	2	128.83	24934	24166	0.62		18	25
#	0	1	0	#	1	#	1	2	0	0	1	110.09	24168	24168	0.62		0	27
0	#	#	1	1	0	0	#	0	0.269	0.769	2	74.76	24949	24173	0.62		20	26
#	0	#	1	#	0	0	0	0	0.223	0.741	1	88.6	24990	24181	0.62		20	27
#	1	0	#	#	0	#	0	0	0.262	0.765	2	93.47	24995	24189	0.5		39	51
1	#	#	0	1	#	#	0	2	0.055	0.56	1	77.36	24985	24193	0.5		28	50
1	#	#	1	#	0	0	#	2	0.042	0.529	1	71.03	24975	24207	0.5		27	51
1	#	1	0	0	#	#	1	3	0.254	0.76	1	109.83	24986	24210	0.62		19	25
#	#	1	1	0	#	1	0	2	0.254	0.76	2	101.59	24984	24211	0.62		19	25
1	1	1	1	#	#	1	0	2	0.237	0.75	1	115.89	24979	24211	0.75		9	12
0	1	0	0	1	#	1	#	1	0.159	0.692	1	108.38	24983	24215	0.75		9	13
#	#	1	1	1	1	#	1	3	0.186	0.714	1	79.85	24994	24226	0.62		15	21
#	0	0	1	1	#	#	0	0	0.221	0.739	1	71.38	24886	24232	0.62		17	23
0	#	#	#	0	0	1	#	0	0.229	0.745	2	68.76	24963	24233	0.5		35	47
#	0	#	1	#	#	#	1	1	0.057	0.564	1	61.17	24976	24235	0.38		53	94
#	0	1	#	#	0	0	0	2	0.221	0.739	1	109.94	24956	24239	0.62		17	23
0	0	#	1	0	#	1	#	0	0.257	0.762	3	89.87	24992	24247	0.62		16	21
1	1	#	1	0	#	0	0	3	0.031	0.5	1	75.57	24794	24252	0.75		5	10
#	0	1	#	1	0	#	0	2	0.221	0.739	1	110.42	24956	24262	0.62		17	23
0	1	#	0	#	1	1	1	3	0	0	1	118.6	24267	24267	0.75		0	11
0	0	#	1	0	0	1	#	1	0	0	1	98.93	24279	24279	0.75		0	8
#	#	1	0	0	0	1	1	2	0.203	0.727	1	56.99	24968	24294	0.75		8	11
0	1	#	0	1	0	0	1	3	0	0	1	68	24303	24303	0.88		0	4
#	#	1	0	1	0	0	#	2	0.257	0.762	1	102.46	24925	24305	0.62		16	21
1	1	#	1	1	#	1	#	3	0.132	0.667	1	76.91	24981	24321	0.62		12	18
#	#	0	#	#	1	0	1	1	0.257	0.762	1	105.85	24934	24323	0.5		32	42
#	#	0	#	1	#	1	1	1	0.237	0.75	2	65.41	24974	24324	0.5		33	44
#	0	1	0	0	1	1	0	1	0	0	1	77.4	24328	24328	0.88		0	5
1	1	1	#	1	#	#	1	3	0.175	0.706	1	78.58	24994	24348	0.62		12	17
0	1	1	1	#	0	#	0	3	0	0	1	68.22	24349	24349	0.75		0	10
1	1	0	0	#	0	#	#	0	0.276	0.773	1	54.58	24957	24364	0.62		17	22
1	0	#	#	1	#	1	1	3	0.186	0.714	1	86.24	24962	24365	0.62		15	21
1	0	#	0	1	#	0	#	2	0.186	0.714	2	92.26	24985	24366	0.62		15	21
1	0	#	0	1	#	0	0	0	0	0	1	100.58	24366	24366	0.75		0	10
#	#	1	#	1	1	1	#	3	0.262	0.765	2	82.86	24997	24368	0.5		26	34
#	0	0	#	#	1	#	1	1	0.181	0.711	1	91.14	24976	24373	0.5		27	38
0	#	#	0	#	0	#	#	0	0.07	0.588	1	73.75	24995	24376	0.38		47	80
1	0	#	0	#	0	#	0	0	0	0	1	125.51	24377	24377	0.62		0	18
1	#	1	#	#	#	#	1	3	0.207	0.73	1	92.19	24994	24382	0.38		54	74
#	1	#	1	1	#	0	#	2	0.068	0.583	1	86.04	24975	24384	0.5		21	36
1	0	#	0	1	1	#	#	3	0.217	0.737	1	84.61	24962	24414	0.62		14	19
#	1	0	#	1	#	1	1	1	0.217	0.737	1	69.1	24927	24415	0.62		14	19
#	0	0	#	#	#	1	1	1	0.04	0.526	1	67.6	24976	24417	0.5		20	38
#	0	1	0	1	1	1	#	1	0	0	1	90.65	24424	24424	0.75		0	9
1	0	#	0	0	1	#	#	3	0.307	0.789	2	110.58	24986	24430	0.62		15	19
#	1	0	#	1	0	#	0	0	0.285	0.778	2	93.73	24995	24441	0.62		14	18
0	1	0	0	#	#	0	0	0	0.237	0.75	1	124.93	24953	24441	0.75		6	8
1	0	#	#	#	1	1	#	3	0.042	0.529	1	74.58	24962	24450	0.5		18	34
#	0	#	0	0	1	#	#	3	0.07	0.588	1	93.37	24986	24461	0.5		20	34
1	0	0	1	#	1	#	#	1	0.196	0.722	1	58.33	24991	24464	0.62		13	18
#	1	#	1	#	#	1	0	2	0.063	0.576	1	79.3	24979	24467	0.5		19	33
#	0	#	1	0	#	1	0	3	0	0	1	86.29	24476	24476	0.62		0	17
#	1	#	1	#	1	#	1	3	0.212	0.733	2	92.88	24994	24482	0.5		22	30
0	1	0	0	#	#	#	0	0	0.237	0.75	1	116.67	24995	24483	0.62		12	16
#	#	0	1	#	1	0	1	1	0.212	0.733	1	106.57	24934	24496	0.62		11	15
0	#	0	0	0	0	#	1	1	0.014	0.429	1	70.06	24952	24512	0.75		3	7
#	#	0	0	0	#	1	0	0	0.212	0.733	1	95.44	24957	24517	0.62		11	15
1	#	1	0	0	1	0	#	2	0	0	1	126.5	24520	24520	0.75		0	7
#	0	1	#	0	1	0	#	3	0.212	0.733	1	103.98	24986	24520	0.62		11	15
1	#	1	#	#	#	1	1	3	0.159	0.692	1	82.6	24898	24531	0.5		18	26
1	0	#	0	1	1	1	#	1	0	0	1	105.27	24533	24533	0.75		0	7
1	0	#	0	#	0	1	#	0	0	0	1	90.04	24536	24536	0.62		0	14
1	#	1	1	#	1	0	#	3	0.186	0.714	1	88.51	24994	24545	0.62		10	14
#	0	1	1	#	1	1	#	3	0.003	0.308	1	68.27	24827	24546	0.62		4	13
0	#	0	0	#	#	0	#	0	0.051	0.552	1	100.52	24953	24547	0.5		16	29
#	1	0	0	#	#	0	1	1	0.159	0.692	2	86.2	24921	24557	0.62		9	13
1	1	#	#	1	#	0	0	2	0.299	0.786	1	91.04	24910	24565	0.62		11	14
0	1	#	0	#	0	#	0	1	0	0	1	98.54	24568	24568	0.62		0	14
#	0	0	#	1	1	1	0	1	0.078	0.6	1	58	24856	24600	0.75		3	5
1	#	1	0	1	0	#	1	2	0.132	0.667	1	75.64	24923	24604	0.75		4	6
#	1	1	1	1	1	1	#	2	0	0	1	90.25	24613	24613	0.75		0	4
#	1	0	#	1	#	#	0	0	0.047	0.542	1	88.4	24995	24620	0.5		13	24
1	0	#	0	1	#	#	#	2	0.021	0.462	1	90.82	24985	24622	0.5		12	26
1	#	#	0	#	1	0	1	3	0.402	0.833	2	119.99	24986	24623	0.62		10	12
0	0	#	1	1	#	#	0	1	0	0.2	1	78.82	24820	24631	0.62		2	10
#	1	1	#	#	0	#	#	2	0.052	0.553	1	54.69	24968	24639	0.38		26	47
1	1	1	#	#	1	#	#	3	0.116	0.65	1	87.11	24994	24644	0.5		13	20
1	0	#	0	1	#	1	#	3	0.203	0.727	1	93.66	24962	24645	0.62		8	11
0	1	#	0	1	#	0	#	0	0.132	0.667	2	99.84	24953	24648	0.62		8	12
#	0	0	1	0	#	#	1	1	0.285	0.778	2	87.21	24976	24651	0.62		7	9
1	1	#	1	1	#	1	0	2	0.031	0.5	1	90.36	24908	24652	0.75		3	6
#	1	#	1	#	#	#	0	2	0.069	0.585	1	78.11	24979	24652	0.38		24	41
1	1	1	1	0	0	1	0	1	0	0	1	178	24656	24656	1		0	1
1	0	#	0	#	#	1	#	3	0.024	0.476	1	90.87	24962	24670	0.5		10	21
#	#	#	0	0	#	1	0	1	0	0	1	87.4	24674	24674	0.5		0	18
1	0	1	0	0	#	1	#	2	0.237	0.75	1	131.5	24930	24674	0.75		3	4
0	0	#	1	#	#	0	1	0	0.01	0.4	1	82.16	24941	24675	0.62		4	10
0	0	#	#	1	0	0	#	0	0.328	0.8	1	84.06	24949	24685	0.62		8	10
0	#	0	0	#	0	0	0	2	0	0	1	132.36	24695	24695	0.75		0	6
0	0	0	#	#	0	#	#	3	0	0	1	80.11	24695	24695	0.5		0	19
#	0	1	0	#	#	0	1	3	0.285	0.778	1	113.78	24986	24698	0.62		7	9
1	#	1	0	1	0	#	#	2	0.237	0.75	1	100.51	24925	24715	0.62		6	8
1	1	1	#	#	0	#	#	2	0.175	0.706	1	85.71	24968	24715	0.5		12	17
1	0	0	1	0	#	#	#	1	0.019	0.455	1	57.17	24991	24720	0.62		5	11
1	1	#	#	1	0	1	1	3	0.237	0.75	1	54.75	24981	24725	0.75		3	4
1	#	#	1	#	1	#	1	3	0.212	0.733	1	90.45	24994	24738	0.5		11	15
#	0	1	#	1	#	1	#	3	0.056	0.562	1	82.65	24997	24741	0.5		9	16
0	#	#	1	1	#	#	0	0	0.043	0.533	1	67.27	24949	24744	0.5		8	15
#	1	0	0	1	#	#	0	0	0.186	0.714	1	92.28	24995	24748	0.62		5	7
#	0	#	1	0	#	#	1	1	0.045	0.538	1	72.14	24976	24752	0.5		7	13
0	#	0	0	#	1	1	#	1	0.186	0.714	1	108.5	24983	24755	0.62		5	7
1	0	#	0	0	0	#	0	0	0	0	1	142.67	24758	24758	0.75		0	3
0	#	#	1	#	0	1	0	0	0.402	0.833	1	81.12	24963	24759	0.62		5	6
1	0	1	0	#	#	0	1	3	0.132	0.667	1	141.33	24986	24761	0.75		2	3
1	1	0	1	0	#	0	0	3	0	0	1	61	24764	24764	0.88		0	1
1	#	#	#	0	1	#	1	3	0.237	0.75	1	114.35	24986	24769	0.5		9	12
#	1	0	#	0	#	#	0	0	0.061	0.571	1	72.09	24963	24773	0.5		8	14
#	#	0	0	0	#	1	#	0	0.043	0.533	1	67.02	24957	24773	0.5		8	15
1	0	#	0	#	0	1	#	1	0	0	1	87.24	24792	24792	0.62		0	6
1	1	#	#	0	1	0	#	3	0.132	0.667	1	112.33	24900	24794	0.62		2	3
#	1	1	1	#	#	#	0	2	0.237	0.75	2	94.67	24979	24796	0.5		9	12
#	1	1	#	0	#	1	#	2	0.068	0.583	1	69.41	24979	24796	0.5		7	12
0	#	#	0	0	1	0	#	2	0	0	1	60.25	24804	24804	0.62		0	4
1	#	1	#	0	#	1	0	0	0	0	1	122	24805	24805	0.62		0	5
#	#	#	0	0	0	1	#	2	0.008	0.385	1	64.13	24968	24806	0.5		5	13
0	1	#	#	0	1	1	0	0	1	1	1	44.5	24919	24811	0.75		2	2
#	1	0	#	1	0	0	#	0	0.132	0.667	1	79.12	24953	24815	0.62		4	6
#	0	#	1	1	1	1	#	1	0.328	0.8	1	74.8	24929	24820	0.62		4	5
#	1	#	1	#	#	0	0	2	0.132	0.667	1	79.61	24910	24821	0.5		6	9
#	1	1	1	#	#	0	0	2	0.328	0.8	1	90.2	24910	24825	0.62		4	5
0	0	0	#	1	1	#	#	1	0.004	0.333	1	98	24835	24835	0.62		1	3
0	#	#	#	1	1	#	#	1	0.039	0.522	1	68.6	24983	24835	0.38		12	23
0	#	#	#	1	#	#	1	1	0.058	0.565	1	56.12	24931	24836	0.38		13	23
1	1	1	#	0	#	1	#	2	0.328	0.8	1	108.2	24979	24837	0.62		4	5
0	1	#	#	#	1	#	#	1	0.031	0.5	1	81.84	24983	24841	0.38		9	18
#	#	#	1	#	0	#	0	0	0.023	0.471	1	95.39	24990	24846	0.38		8	17
#	0	#	1	#	0	1	#	0	0.002	0.286	1	68.57	24887	24849	0.5		2	7
#	1	1	1	0	#	0	1	2	0	0	1	59	24850	24850	0.75		0	2
#	#	#	1	0	#	0	1	3	0.031	0.5	1	82.69	24947	24850	0.5		5	10
#	0	0	1	1	1	1	#	2	0	0	1	97	24856	24856	0.75		0	1
0	#	#	#	1	#	1	#	1	0.045	0.538	1	63.05	24983	24857	0.38		7	13
#	1	1	1	0	#	0	0	2	0	0	1	45	24861	24861	0.75		0	1
0	1	1	#	1	#	1	0	3	0.024	0.753	1	61.7	24869	24869	0.75		0	0
0	#	#	1	1	0	0	#	1	0	0	1	66.25	24874	24874	0.62		0	4
#	#	0	0	1	#	#	0	1	0	0.2	1	81.34	24983	24876	0.5		2	10
#	1	#	#	1	1	1	0	3	0.004	0.333	1	82.67	24909	24880	0.62		1	3
#	#	0	#	#	0	#	#	0	0.054	0.559	1	67.22	24995	24884	0.25		19	34
#	#	0	1	#	0	1	#	0	0.001	0.25	1	53.95	24963	24886	0.5		2	8
#	0	1	1	#	0	#	0	0	0.004	0.333	1	112.33	24949	24887	0.62		1	3
#	1	0	#	0	0	1	0	0	1	1	2	88	24963	24888	0.75		2	2
#	1	0	0	0	#	1	0	1	0	0	1	80	24888	24888	0.75		0	1
1	#	#	#	0	0	0	1	3	0.237	0.75	1	49.5	24978	24892	0.62		3	4
#	0	0	#	1	1	#	1	1	0.031	0.5	1	100	24929	24893	0.62		1	2
#	1	1	1	#	0	#	#	1	0	0	1	108.6	24895	24895	0.5		0	5
0	#	0	#	1	#	#	1	1	0.078	0.6	2	82.8	24927	24897	0.5		3	5
#	0	#	0	1	1	1	1	3	1	1	1	95	24962	24898	0.75		2	2
1	1	0	0	1	0	#	#	1	0.031	0.5	1	59.5	24902	24902	0.75		1	2
#	#	0	0	#	#	0	#	0	0.048	0.545	1	76.17	24953	24904	0.38		6	11
#	0	#	1	0	#	0	#	1	0.014	0.429	1	63.7	24991	24907	0.5		3	7
1	#	1	#	1	1	#	#	3	0.01	0.4	1	84.6	24994	24909	0.5		2	5
1	1	#	1	0	0	1	#	3	0	0	1	178	24911	24911	0.75		0	1
#	0	#	1	0	#	0	#	0	0	0.167	1	61.36	24990	24913	0.5		1	6
#	#	#	#	0	1	#	1	3	0.095	0.625	1	109.89	24986	24918	0.38		5	8
0	1	#	#	0	1	1	0	2	0.024	0.75	1	79	24919	24919	0.75		0	0
1	#	#	#	1	#	0	#	2	0.068	0.583	1	78.8	24985	24923	0.38		7	12
1	0	#	#	1	#	0	#	2	0.031	0.5	1	76.28	24985	24925	0.5		3	6
0	#	0	#	1	#	#	1	2	0	0	1	73	24927	24927	0.5		0	3
1	0	#	0	#	1	#	1	0	0	0	1	126.75	24928	24928	0.62		0	4
0	0	#	1	1	#	0	1	1	0	0	1	72.5	24931	24931	0.75		0	2
0	0	#	#	1	1	#	#	1	0	0	1	63	24931	24931	0.5		0	4
1	1	#	1	0	#	0	1	2	0.025	0.759	1	81.57	24932	24932	0.75		0	0
#	1	#	1	#	#	0	1	3	0.004	0.333	1	94.67	24994	24932	0.5		1	3
0	0	#	#	#	0	0	#	0	0.078	0.6	1	68.2	24951	24941	0.5		3	5
#	0	#	0	#	#	0	1	3	0.132	0.667	1	113	24986	24942	0.5		2	3
0	#	0	#	#	1	#	1	3	0.1	1	1	121.66	24946	24946	0.5		0	0
0	0	0	#	#	#	#	#	0	0.237	0.75	1	72	24992	24951	0.38		3	4
0	0	#	#	0	0	0	0	0	0.064	0.889	1	87	24951	24951	0.75		0	0
0	1	#	#	1	0	#	0	0	1	1	1	95	24995	24953	0.62		1	1
#	0	1	0	0	#	0	1	2	0	0	1	216	24954	24954	0.75		0	1
#	1	0	#	0	0	#	0	0	1	1	1	96	24963	24957	0.62		1	1
1	0	#	#	0	1	0	0	3	0	0	1	50	24973	24973	0.75		0	1
#	0	0	#	1	#	1	1	1	0.1	1	1	94.34	24974	24974	0.62		0	0
1	#	#	1	1	0	0	1	2	0	0	1	52	24975	24975	0.75		0	1
1	1	#	1	1	#	0	1	0	0	0	1	111	24975	24975	0.75		0	1
#	0	0	1	#	#	1	#	1	0	0	1	66.5	24976	24976	0.5		0	2
0	0	1	0	#	#	1	#	3	0.064	0.889	1	57.32	24997	24997	0.62		0	0
